date,sales,day,daytype
1/1/2015,36,Thursday,weekday
2/1/2015,32,Friday,weekday
3/1/2015,42,Saturday,weekend
4/1/2015,28,Sunday,weekend
5/1/2015,31,Monday,weekday
6/1/2015,31,Tuesday,weekday
7/1/2015,28,Wednesday,weekday
8/1/2015,31,Thursday,weekday
9/1/2015,21,Friday,weekday
10/1/2015,27,Saturday,weekend
11/1/2015,22,Sunday,weekend
12/1/2015,31,Monday,weekday
13/1/2015,26,Tuesday,weekday
14/1/2015,35,Wednesday,weekday
15/1/2015,26,Thursday,weekday
16/1/2015,34,Friday,weekday
17/1/2015,37,Saturday,weekend
18/1/2015,28,Sunday,weekend
19/1/2015,33,Monday,weekday
20/1/2015,28,Tuesday,weekday
21/1/2015,26,Wednesday,weekday
22/1/2015,37,Thursday,weekday
23/1/2015,32,Friday,weekday
24/1/2015,27,Saturday,weekend
25/1/2015,21,Sunday,weekend
26/1/2015,23,Monday,weekday
27/1/2015,28,Tuesday,weekday
28/1/2015,26,Wednesday,weekday
29/1/2015,30,Thursday,weekday
30/1/2015,34,Friday,weekday
31/1/2015,22,Saturday,weekend
1/2/2015,49,Sunday,weekend
2/2/2015,32,Monday,weekday
3/2/2015,28,Tuesday,weekday
4/2/2015,29,Wednesday,weekday
5/2/2015,23,Thursday,weekday
6/2/2015,28,Friday,weekday
7/2/2015,37,Saturday,weekend
8/2/2015,28,Sunday,weekend
9/2/2015,31,Monday,weekday
10/2/2015,22,Tuesday,weekday
11/2/2015,31,Wednesday,weekday
12/2/2015,24,Thursday,weekday
13/2/2015,42,Friday,weekday
14/2/2015,32,Saturday,weekend
15/2/2015,35,Sunday,weekend
16/2/2015,28,Monday,weekday
17/2/2015,35,Tuesday,weekday
18/2/2015,38,Wednesday,weekday
19/2/2015,25,Thursday,weekday
20/2/2015,46,Friday,weekday
21/2/2015,30,Saturday,weekend
22/2/2015,23,Sunday,weekend
23/2/2015,29,Monday,weekday
24/2/2015,27,Tuesday,weekday
25/2/2015,30,Wednesday,weekday
26/2/2015,26,Thursday,weekday
27/2/2015,37,Friday,weekday
28/2/2015,30,Saturday,weekend
1/3/2015,22,Sunday,weekend
2/3/2015,36,Monday,weekday
3/3/2015,30,Tuesday,weekday
4/3/2015,44,Wednesday,weekday
5/3/2015,30,Thursday,weekday
6/3/2015,30,Friday,weekday
7/3/2015,31,Saturday,weekend
8/3/2015,39,Sunday,weekend
9/3/2015,40,Monday,weekday
10/3/2015,34,Tuesday,weekday
11/3/2015,36,Wednesday,weekday
12/3/2015,22,Thursday,weekday
13/3/2015,38,Friday,weekday
14/3/2015,21,Saturday,weekend
15/3/2015,28,Sunday,weekend
16/3/2015,26,Monday,weekday
17/3/2015,37,Tuesday,weekday
18/3/2015,28,Wednesday,weekday
19/3/2015,34,Thursday,weekday
20/3/2015,41,Friday,weekday
21/3/2015,33,Saturday,weekend
22/3/2015,13,Sunday,weekend
23/3/2015,34,Monday,weekday
24/3/2015,33,Tuesday,weekday
25/3/2015,27,Wednesday,weekday
26/3/2015,38,Thursday,weekday
27/3/2015,29,Friday,weekday
28/3/2015,30,Saturday,weekend
29/3/2015,31,Sunday,weekend
30/3/2015,42,Monday,weekday
31/3/2015,37,Tuesday,weekday
1/4/2015,23,Wednesday,weekday
2/4/2015,40,Thursday,weekday
3/4/2015,29,Friday,weekday
4/4/2015,36,Saturday,weekend
5/4/2015,32,Sunday,weekend
6/4/2015,36,Monday,weekday
7/4/2015,30,Tuesday,weekday
8/4/2015,34,Wednesday,weekday
9/4/2015,27,Thursday,weekday
10/4/2015,27,Friday,weekday
11/4/2015,30,Saturday,weekend
12/4/2015,28,Sunday,weekend
13/4/2015,43,Monday,weekday
14/4/2015,27,Tuesday,weekday
15/4/2015,33,Wednesday,weekday
16/4/2015,28,Thursday,weekday
17/4/2015,38,Friday,weekday
18/4/2015,31,Saturday,weekend
19/4/2015,18,Sunday,weekend
20/4/2015,33,Monday,weekday
21/4/2015,31,Tuesday,weekday
22/4/2015,33,Wednesday,weekday
23/4/2015,29,Thursday,weekday
24/4/2015,42,Friday,weekday
25/4/2015,35,Saturday,weekend
26/4/2015,20,Sunday,weekend
27/4/2015,32,Monday,weekday
28/4/2015,19,Tuesday,weekday
29/4/2015,24,Wednesday,weekday
30/4/2015,36,Thursday,weekday
1/5/2015,40,Friday,weekday
2/5/2015,39,Saturday,weekend
3/5/2015,27,Sunday,weekend
4/5/2015,33,Monday,weekday
5/5/2015,25,Tuesday,weekday
6/5/2015,36,Wednesday,weekday
7/5/2015,28,Thursday,weekday
8/5/2015,34,Friday,weekday
9/5/2015,32,Saturday,weekend
10/5/2015,19,Sunday,weekend
11/5/2015,32,Monday,weekday
12/5/2015,26,Tuesday,weekday
13/5/2015,29,Wednesday,weekday
14/5/2015,42,Thursday,weekday
15/5/2015,34,Friday,weekday
16/5/2015,34,Saturday,weekend
17/5/2015,20,Sunday,weekend
18/5/2015,32,Monday,weekday
19/5/2015,29,Tuesday,weekday
20/5/2015,25,Wednesday,weekday
21/5/2015,24,Thursday,weekday
22/5/2015,39,Friday,weekday
23/5/2015,33,Saturday,weekend
24/5/2015,28,Sunday,weekend
25/5/2015,23,Monday,weekday
26/5/2015,26,Tuesday,weekday
27/5/2015,33,Wednesday,weekday
28/5/2015,25,Thursday,weekday
29/5/2015,32,Friday,weekday
30/5/2015,39,Saturday,weekend
31/5/2015,21,Sunday,weekend
1/6/2015,41,Monday,weekday
2/6/2015,37,Tuesday,weekday
3/6/2015,27,Wednesday,weekday
4/6/2015,25,Thursday,weekday
5/6/2015,34,Friday,weekday
6/6/2015,28,Saturday,weekend
7/6/2015,26,Sunday,weekend
8/6/2015,37,Monday,weekday
9/6/2015,32,Tuesday,weekday
10/6/2015,24,Wednesday,weekday
11/6/2015,27,Thursday,weekday
12/6/2015,29,Friday,weekday
13/6/2015,26,Saturday,weekend
14/6/2015,19,Sunday,weekend
15/6/2015,31,Monday,weekday
16/6/2015,17,Tuesday,weekday
17/6/2015,35,Wednesday,weekday
18/6/2015,28,Thursday,weekday
19/6/2015,46,Friday,weekday
20/6/2015,31,Saturday,weekend
21/6/2015,21,Sunday,weekend
22/6/2015,34,Monday,weekday
23/6/2015,35,Tuesday,weekday
24/6/2015,35,Wednesday,weekday
25/6/2015,30,Thursday,weekday
26/6/2015,42,Friday,weekday
27/6/2015,41,Saturday,weekend
28/6/2015,19,Sunday,weekend
29/6/2015,23,Monday,weekday
30/6/2015,30,Tuesday,weekday
1/7/2015,25,Wednesday,weekday
2/7/2015,26,Thursday,weekday
3/7/2015,49,Friday,weekday
4/7/2015,48,Saturday,weekend
5/7/2015,16,Sunday,weekend
6/7/2015,30,Monday,weekday
7/7/2015,34,Tuesday,weekday
8/7/2015,31,Wednesday,weekday
9/7/2015,40,Thursday,weekday
10/7/2015,37,Friday,weekday
11/7/2015,28,Saturday,weekend
12/7/2015,21,Sunday,weekend
13/7/2015,30,Monday,weekday
14/7/2015,26,Tuesday,weekday
15/7/2015,23,Wednesday,weekday
16/7/2015,37,Thursday,weekday
17/7/2015,49,Friday,weekday
18/7/2015,28,Saturday,weekend
19/7/2015,28,Sunday,weekend
20/7/2015,28,Monday,weekday
21/7/2015,26,Tuesday,weekday
